	type	location	distracted	time
46321	Parked Car	Mid-Block	no	10.25
46322	Angles	At Intersection	no	10.68
46323	Sideswipe	Mid-Block	no	11.1
46324	Angles	Mid-Block	no	12.0
46325	Rear Ended	Mid-Block	no	12.5
46326	Angles	Driveway Junction	no	14.67
46327	Angles	At Intersection	no	15.3
46328	Left Turn	Driveway Junction	no	15.87
46329	Left Turn	At Intersection	no	16.3
46330	Sideswipe	Mid-Block	no	16.45
46331	Right Turn	At Intersection	no	16.5
46332	Rear Ended	Mid-Block	no	16.68
46333	Cycles	At Intersection	no	16.83
46334	Rear Ended	Mid-Block	no	16.92
46335	Rear Ended	Mid-Block	no	16.95
46336	Sideswipe	Mid-Block	no	17.43
46337	Cycles	At Intersection	no	18.53
46338	Right Turn	Driveway Junction	no	18.75
